lr,step,group,samples,cer_micro,wer_micro,wavlm_similarity_mean,camp_similarity_mean,dnsmos_ovrl_mean,dnsmos_sig_mean,dnsmos_bak_mean,evaluation_failures,source
3e-4,1000,majestic_zh,8,0.02027027027027027,,0.7240357920527458,0.5734463706612587,3.3312140109153354,3.5761692761297557,4.15056594629457,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00001000/summary.json
3e-4,1000,majestic_en,8,0.013089005235602094,0.011235955056179775,0.6411781534552574,0.7401661425828934,3.118683217604897,3.37736041881511,4.083582346120744,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00001000/summary.json
3e-4,1000,majestic_mixed,8,0.01092896174863388,0.16666666666666666,0.6203507855534554,0.5187758877873421,3.2236815929415576,3.5038314144568834,4.072988659907355,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00001000/summary.json
3e-4,1000,ljs_en,8,0.010471204188481676,0.02247191011235955,0.4251040294766426,0.6419913247227669,2.67368896625505,3.201151997581532,3.478458740594558,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00001000/summary.json
3e-4,2000,majestic_zh,200,0.0082010582010582,,0.7416454651951789,0.5784380543231964,3.3089093609521414,3.5591887712537273,4.1185551636580655,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00002000/summary.json
3e-4,2000,majestic_en,200,0.006498270621528142,0.014485755673587638,0.6705193975567818,0.7477875599265098,3.088686699555941,3.3463143125950734,4.0700784236935785,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00002000/summary.json
3e-4,2000,majestic_mixed,50,0.013297872340425532,0.052083333333333336,0.6892113506793975,0.5529111605882645,3.253519320326476,3.512853092142564,4.098847069514167,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00002000/summary.json
3e-4,2000,ljs_en,200,0.01194843307829368,0.028005794302269436,0.4581566321477294,0.6202606692165137,2.554017686611604,3.0836030410048094,3.3834677477266837,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00002000/summary.json
3e-4,5000,majestic_zh,200,0.0068783068783068784,,0.7630475440621376,0.6197668814659119,3.356784787175765,3.600696390384158,4.136890490951644,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00005000/summary.json
3e-4,5000,majestic_en,200,0.0060790273556231,0.012554321583775953,0.7103775337338447,0.7781222984194756,3.18477012247873,3.4369928834418904,4.099752694367103,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00005000/summary.json
3e-4,5000,majestic_mixed,50,0.00975177304964539,0.08333333333333333,0.7036597406864167,0.5992696094512939,3.3159899221891886,3.5681294318743593,4.12097206315439,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00005000/summary.json
3e-4,5000,ljs_en,200,0.008070432868672046,0.016900048285852245,0.5252948271483183,0.7085882887244225,2.7583569487362927,3.274033558383047,3.514072379847899,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00005000/summary.json
3e-4,10000,majestic_zh,200,0.0050264550264550265,,0.7667614448070527,0.6491185620427131,3.345219281816918,3.5932322044211458,4.127697460477375,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00010000/summary.json
3e-4,10000,majestic_en,200,0.0049261083743842365,0.010622887493964268,0.7110351347923278,0.7807433179020882,3.1481190735954088,3.409726182636037,4.079174227501069,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00010000/summary.json
3e-4,10000,majestic_mixed,50,0.0008865248226950354,0.052083333333333336,0.7075982534885407,0.6284242570400238,3.326197486548492,3.5731870709843445,4.132039167757202,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00010000/summary.json
3e-4,10000,ljs_en,200,0.005030919190860497,0.01496861419604056,0.5809423465281724,0.78249373793602,2.888316549085206,3.305492745079267,3.715516105098804,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00010000/summary.json
3e-4,15000,majestic_zh,200,0.006084656084656085,,0.7698058277368546,0.6593097177147865,3.3725161873935683,3.617979990927101,4.132692119383856,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00015000/summary.json
3e-4,15000,majestic_en,200,0.0049261083743842365,0.01158860453887011,0.7274692986905574,0.7712657538056373,3.1978271592997163,3.4670775240676415,4.067484218185845,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00015000/summary.json
3e-4,15000,majestic_mixed,50,0.0,0.07291666666666667,0.7163130247592926,0.6354400587081909,3.34941216965294,3.5962324172883733,4.133187249531474,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00015000/summary.json
3e-4,15000,ljs_en,200,0.0055549732732417985,0.014002897151134718,0.608158690482378,0.7990991942584514,2.868762074930009,3.3762304244250374,3.557093443473527,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00015000/summary.json
3e-4,20000,majestic_zh,200,0.0068783068783068784,,0.7772871416807174,0.6568689569830894,3.368095615090742,3.6099153272009947,4.1395264827219895,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00020000/summary.json
3e-4,20000,majestic_en,200,0.004087621842574153,0.008691453404152583,0.732216767668724,0.7770438787341117,3.198378879925494,3.4550442103218244,4.097186312559681,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00020000/summary.json
