model,tag,completed_updates,wall_time,value
imf,imf/train_u_mse_epoch,340,1789446552.0805988,0.9011262655258179
imf,imf/train_u_mse_epoch,680,1789446761.7444313,3.39595103263855
imf,imf/train_u_mse_epoch,1020,1789446977.9105062,4.3265910148620605
imf,imf/train_u_mse_epoch,1360,1789447186.5078433,4.59968376159668
imf,imf/train_u_mse_epoch,1700,1789447392.05237,3.9326624870300293
imf,imf/train_u_mse_epoch,2040,1789447605.5232804,3.6544430255889893
imf,imf/train_u_mse_epoch,2380,1789447817.3684454,3.4861607551574707
imf,imf/train_u_mse_epoch,2720,1789448040.2949932,3.414107084274292
imf,imf/train_u_mse_epoch,3060,1789448259.1504102,3.250154495239258
imf,imf/train_u_mse_epoch,3400,1789448466.3424873,2.835235834121704
imf,imf/train_u_mse_epoch,3740,1789448671.2846432,2.9063758850097656
imf,imf/train_u_mse_epoch,4080,1789448882.0320456,2.7658376693725586
imf,imf/train_u_mse_epoch,4420,1789449087.5523036,2.6504552364349365
imf,imf/train_u_mse_epoch,4760,1789449292.6666815,2.6987621784210205
imf,imf/train_u_mse_epoch,5100,1789449508.3544164,3.5628273487091064
imf,imf/train_u_mse_epoch,5440,1789449719.6843088,3.372251033782959
imf,imf/train_u_mse_epoch,5780,1789449945.1136131,2.9810214042663574
imf,imf/train_u_mse_epoch,6120,1789450159.6126027,2.9509029388427734
imf,imf/train_u_mse_epoch,6460,1789450365.4572582,2.6892778873443604
imf,imf/train_u_mse_epoch,6800,1789450572.278717,2.4469337463378906
imf,imf/train_u_mse_epoch,7140,1789450786.6274724,2.0547196865081787
imf,imf/train_u_mse_epoch,7480,1789450992.5536017,1.894644021987915
imf,imf/train_u_mse_epoch,7820,1789451199.9253168,1.8488011360168457
imf,imf/train_u_mse_epoch,8160,1789451413.1911588,1.7611860036849976
imf,imf/train_u_mse_epoch,8500,1789451621.5256226,1.8627060651779175
imf,imf/train_u_mse_epoch,8840,1789451829.7697504,1.7425718307495117
imf,imf/train_u_mse_epoch,9180,1789452042.5927844,1.704599380493164
imf,imf/train_u_mse_epoch,9520,1789452249.873434,1.4293882846832275
imf,imf/train_u_mse_epoch,9860,1789452454.5196939,1.453377604484558
imf,imf/train_u_mse_epoch,10200,1789452669.3810854,1.4223636388778687
imf,imf/train_u_mse_epoch,10540,1789452889.326379,1.3896024227142334
imf,imf/train_u_mse_epoch,10880,1789453111.887846,1.3243120908737183
