model,tag,start_inclusive,end_exclusive,count,mean,median,minimum,maximum
imf,imf/train_u_mse_epoch,1000,10000,27,2.7509510296362416,2.7658376693725586,1.4293882846832275,4.59968376159668
imf,imf/train_u_mse_epoch,10000,20000,29,1.0873021277888069,1.0573630332946777,0.7976109981536865,1.4497195482254028
imf,imf/train_u_mse_epoch,20000,40000,59,0.7459832854190115,0.7254259586334229,0.5112456679344177,1.077040433883667
imf,imf/train_u_mse_epoch,40000,60000,59,0.6171882192967302,0.6034659743309021,0.43846839666366577,0.8730675578117371
imf,imf/train_u_mse_epoch,60000,80000,59,0.45530391143540205,0.43003880977630615,0.33844560384750366,0.6420591473579407
imf,imf/train_u_mse_epoch,80000,100000,59,0.4156259399349407,0.41530460119247437,0.32449308037757874,0.6108777523040771
imf,imf/train_u_mse_epoch,100000,120000,58,0.44216972075659655,0.4291711449623108,0.3278987407684326,0.6150212287902832
imf,imf/train_u_mse_epoch,120000,136000,47,0.5001120935095117,0.49823179841041565,0.3286420404911041,0.7344447374343872
imf,imf/train_u_mse_epoch,136000,139151,10,0.4959960877895355,0.481944739818573,0.41396674513816833,0.7113343477249146
imf,imf/val_u_mse_epoch,1000,10000,9,2.893733435206943,2.804727554321289,1.922458529472351,4.763538837432861
imf,imf/val_u_mse_epoch,10000,20000,10,1.1221542358398438,1.149520218372345,0.7834091186523438,1.4518460035324097
imf,imf/val_u_mse_epoch,20000,40000,19,0.8015815270574469,0.7658576369285583,0.48842185735702515,1.2563104629516602
imf,imf/val_u_mse_epoch,40000,60000,20,0.602045188844204,0.5423387587070465,0.3787882924079895,1.4158624410629272
imf,imf/val_u_mse_epoch,60000,80000,20,0.466740120947361,0.4544343799352646,0.3026968538761139,0.7008926868438721
imf,imf/val_u_mse_epoch,80000,100000,20,0.41290281563997266,0.3802422434091568,0.26599037647247314,0.6273943781852722
imf,imf/val_u_mse_epoch,100000,120000,20,0.45933240205049514,0.397256076335907,0.31860125064849854,0.9260112047195435
imf,imf/val_u_mse_epoch,120000,136000,16,0.48861970752477646,0.45556671917438507,0.36995285749435425,0.7218033671379089
imf,imf/val_u_mse_epoch,136000,139151,4,0.4776102378964424,0.4425462782382965,0.36470863223075867,0.660639762878418
imf,imf/train_v_mse_epoch,1000,10000,27,0.10417683339781231,0.10280287265777588,0.09885536134243011,0.11690744757652283
imf,imf/train_v_mse_epoch,10000,20000,29,0.09673190553640497,0.09653453528881073,0.09488220512866974,0.09882818162441254
imf,imf/train_v_mse_epoch,20000,40000,59,0.09278794365414118,0.09257349371910095,0.09107821434736252,0.09471840411424637
imf,imf/train_v_mse_epoch,40000,60000,59,0.08991337668592647,0.0900341346859932,0.08857876807451248,0.09121347218751907
imf,imf/train_v_mse_epoch,60000,80000,59,0.08778543833453777,0.08769852668046951,0.08688405901193619,0.08881518989801407
imf,imf/train_v_mse_epoch,80000,100000,59,0.08645497691833366,0.0865141823887825,0.08567298203706741,0.08711086958646774
imf,imf/train_v_mse_epoch,100000,120000,58,0.08556948769195326,0.0855984054505825,0.08491167426109314,0.08619194477796555
imf,imf/train_v_mse_epoch,120000,136000,47,0.08479326028139034,0.08482740074396133,0.08421759307384491,0.08533727377653122
imf,imf/train_v_mse_epoch,136000,139151,10,0.08432899937033653,0.08421872556209564,0.08415890485048294,0.08487240970134735
imf,imf/val_v_mse_epoch,1000,10000,9,0.11165621297227012,0.1100136861205101,0.10551557689905167,0.12130329012870789
imf,imf/val_v_mse_epoch,10000,20000,10,0.1045093446969986,0.1051713079214096,0.10211098194122314,0.10696493089199066
imf,imf/val_v_mse_epoch,20000,40000,19,0.1014187512429137,0.10169404745101929,0.09604524821043015,0.10497743636369705
imf,imf/val_v_mse_epoch,40000,60000,20,0.09801656566560268,0.09721485897898674,0.09454645216464996,0.10248256474733353
imf,imf/val_v_mse_epoch,60000,80000,20,0.09523885659873485,0.0947813130915165,0.09229480475187302,0.09943370521068573
imf,imf/val_v_mse_epoch,80000,100000,20,0.09424991346895695,0.0942966677248478,0.09197906404733658,0.09836159646511078
imf,imf/val_v_mse_epoch,100000,120000,20,0.0932368602603674,0.09292138740420341,0.0893578976392746,0.09757639467716217
imf,imf/val_v_mse_epoch,120000,136000,16,0.09252406097948551,0.09267134964466095,0.0887303352355957,0.09661577641963959
imf,imf/val_v_mse_epoch,136000,139151,4,0.0913725420832634,0.09176888316869736,0.08948785811662674,0.09246454387903214
imf,imf/train_jvp_rms_epoch,1000,10000,27,8.293020319055628,8.480765342712402,5.788881301879883,11.035387992858887
imf,imf/train_jvp_rms_epoch,10000,20000,29,4.961555727596941,4.838644981384277,4.396951675415039,5.867899417877197
imf,imf/train_jvp_rms_epoch,20000,40000,59,4.094328039783543,4.033745288848877,3.440774917602539,5.150596618652344
imf,imf/train_jvp_rms_epoch,40000,60000,59,3.843237517243725,3.8051681518554688,3.1678307056427,4.552134990692139
imf,imf/train_jvp_rms_epoch,60000,80000,59,3.2359029438536044,3.1585910320281982,2.670461654663086,3.8613710403442383
imf,imf/train_jvp_rms_epoch,80000,100000,59,2.9027010626712086,2.9191174507141113,2.6842665672302246,3.3243024349212646
imf,imf/train_jvp_rms_epoch,100000,120000,58,2.855911032906894,2.8484922647476196,2.53220796585083,3.2328109741210938
imf,imf/train_jvp_rms_epoch,120000,136000,47,2.7859720067774996,2.7973380088806152,2.422974109649658,3.095383405685425
imf,imf/train_jvp_rms_epoch,136000,139151,10,2.7778502702713013,2.7927894592285156,2.646139621734619,2.8696987628936768
imf,imf/val_jvp_rms_epoch,1000,10000,9,8.444893889957005,8.686346054077148,6.146734237670898,10.678462028503418
imf,imf/val_jvp_rms_epoch,10000,20000,10,4.98890643119812,5.000170469284058,4.06287145614624,5.904712677001953
imf,imf/val_jvp_rms_epoch,20000,40000,19,4.206531386626394,4.004137992858887,3.09562349319458,5.760657787322998
imf,imf/val_jvp_rms_epoch,40000,60000,20,3.6963281989097596,3.5533673763275146,3.039216995239258,4.930762767791748
imf,imf/val_jvp_rms_epoch,60000,80000,20,3.100091314315796,2.9880865812301636,2.621971368789673,4.05022668838501
imf,imf/val_jvp_rms_epoch,80000,100000,20,2.860742521286011,2.8803768157958984,2.314269542694092,3.3083245754241943
imf,imf/val_jvp_rms_epoch,100000,120000,20,2.8528031587600706,2.87346088886261,2.187798500061035,3.246800184249878
imf,imf/val_jvp_rms_epoch,120000,136000,16,2.6749799847602844,2.657408356666565,2.398313045501709,3.0262527465820312
imf,imf/val_jvp_rms_epoch,136000,139151,4,2.720209002494812,2.7090271711349487,2.4601829051971436,3.002598762512207
imf,imf/train_u_weighted_epoch,1000,10000,27,0.9999996754858229,0.9999996423721313,0.9999995231628418,0.9999997615814209
imf,imf/train_u_weighted_epoch,10000,20000,29,0.9999995478268328,0.9999995231628418,0.999999463558197,0.9999997019767761
imf,imf/train_u_weighted_epoch,20000,40000,59,0.999999481742665,0.9999995231628418,0.999998927116394,0.9999996423721313
imf,imf/train_u_weighted_epoch,40000,60000,59,0.9999994372917433,0.9999994039535522,0.9999993443489075,0.9999995231628418
imf,imf/train_u_weighted_epoch,60000,80000,59,0.9999993685948647,0.9999993443489075,0.9999992847442627,0.9999995231628418
imf,imf/train_u_weighted_epoch,80000,100000,59,0.999999314041461,0.9999992847442627,0.9999991655349731,0.9999994039535522
imf,imf/train_u_weighted_epoch,100000,120000,58,0.9999992878272616,0.9999992847442627,0.9999991655349731,0.9999994039535522
imf,imf/train_u_weighted_epoch,120000,136000,47,0.9999992847442627,0.9999992847442627,0.9999991655349731,0.999999463558197
imf,imf/train_u_weighted_epoch,136000,139151,10,0.9999992549419403,0.9999992847442627,0.9999991655349731,0.9999993443489075
imf,imf/val_u_weighted_epoch,1000,10000,9,0.9999984635247124,0.9999984502792358,0.9999983310699463,0.9999986290931702
imf,imf/val_u_weighted_epoch,10000,20000,10,0.9999982059001923,0.9999982714653015,0.9999980926513672,0.9999982714653015
imf,imf/val_u_weighted_epoch,20000,40000,19,0.9999980299096358,0.9999980926513672,0.9999978542327881,0.9999982714653015
imf,imf/val_u_weighted_epoch,40000,60000,20,0.9999978870153428,0.9999978542327881,0.9999976754188538,0.9999980926513672
imf,imf/val_u_weighted_epoch,60000,80000,20,0.9999977648258209,0.9999977946281433,0.9999976754188538,0.9999979734420776
imf,imf/val_u_weighted_epoch,80000,100000,20,0.9999976843595505,0.9999976754188538,0.9999975562095642,0.9999978542327881
imf,imf/val_u_weighted_epoch,100000,120000,20,0.9999976456165314,0.9999976754188538,0.9999974966049194,0.9999977946281433
imf,imf/val_u_weighted_epoch,120000,136000,16,0.9999975934624672,0.9999975562095642,0.9999974966049194,0.9999976754188538
imf,imf/val_u_weighted_epoch,136000,139151,4,0.999997541308403,0.9999975562095642,0.9999974966049194,0.9999975562095642
imf,imf/train_v_weighted_epoch,1000,10000,27,0.9999989867210388,0.999998927116394,0.9999986886978149,0.9999993443489075
imf,imf/train_v_weighted_epoch,10000,20000,29,0.9999987647451204,0.9999987483024597,0.9999985694885254,0.9999989867210388
imf,imf/train_v_weighted_epoch,20000,40000,59,0.9999986270726737,0.9999986290931702,0.999997079372406,0.9999988675117493
imf,imf/train_v_weighted_epoch,40000,60000,59,0.9999985836320004,0.9999985694885254,0.9999983310699463,0.9999988079071045
imf,imf/train_v_weighted_epoch,60000,80000,59,0.9999985280683485,0.9999985694885254,0.9999983310699463,0.9999987483024597
imf,imf/train_v_weighted_epoch,80000,100000,59,0.9999984684637038,0.9999984502792358,0.9999982714653015,0.9999987483024597
imf,imf/train_v_weighted_epoch,100000,120000,58,0.9999984266429112,0.9999984502792358,0.999998152256012,0.9999986290931702
imf,imf/train_v_weighted_epoch,120000,136000,47,0.9999984160382697,0.9999983906745911,0.9999982118606567,0.9999986886978149
imf,imf/train_v_weighted_epoch,136000,139151,10,0.9999983906745911,0.9999984204769135,0.9999982118606567,0.9999984502792358
imf,imf/val_v_weighted_epoch,1000,10000,9,0.9999971787134806,0.999997079372406,0.9999970197677612,0.9999974966049194
imf,imf/val_v_weighted_epoch,10000,20000,10,0.9999969482421875,0.9999969005584717,0.9999969005584717,0.9999970197677612
imf,imf/val_v_weighted_epoch,20000,40000,19,0.9999968503650866,0.9999968409538269,0.9999967217445374,0.9999969005584717
imf,imf/val_v_weighted_epoch,40000,60000,20,0.9999967157840729,0.9999967217445374,0.9999966025352478,0.9999968409538269
imf,imf/val_v_weighted_epoch,60000,80000,20,0.9999966293573379,0.9999966025352478,0.999996542930603,0.9999968409538269
