step,group,subset,form,sentences,tokens,pearson,std_ratio,cv_ratio,mean_ratio,mae_frames,sentence_mean_normalized_std_ratio,source
2000,speaker_1/Chinese,speech,raw,192,12060,0.6300957217262065,0.6137596673025717,0.6569234833837314,0.9342939974396587,1.2129158043347386,0.6629042752750668,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00002000/duration_summary.json
2000,speaker_1/Chinese,speech,inference,192,12060,0.6208619357307662,0.618590040162783,0.5933549130805715,1.04252956624425,1.340547263681592,0.5984728959912843,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00002000/duration_summary.json
2000,speaker_1/English,speech,raw,115,7329,0.647876070649033,0.6445477317017547,0.7047270810968159,0.9146061631385021,1.2929180840675591,0.7128288791254063,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00002000/duration_summary.json
2000,speaker_1/English,speech,inference,115,7329,0.6355908703713992,0.6442400269370677,0.6228807972383225,1.034291038981208,1.366625733387911,0.6297978271447693,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00002000/duration_summary.json
2000,speaker_1/Mixed,speech,raw,93,6321,0.6331034736987129,0.6176393352209139,0.6704529047355506,0.9212270255798679,1.2825688910133533,0.6909807660139762,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00002000/duration_summary.json
2000,speaker_1/Mixed,speech,inference,93,6321,0.6265636157002034,0.6205018812608288,0.6016475829163653,1.031337777928187,1.3890207245688972,0.6198228586571793,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00002000/duration_summary.json
2000,speaker_0/English,speech,raw,232,15576,0.64215970975825,0.6020435492107783,0.6435061404013412,0.9355676836825464,1.393191872358812,0.6461987954609674,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00002000/duration_summary.json
2000,speaker_0/English,speech,inference,232,15576,0.6316560714176562,0.609475476821932,0.5833825214804923,1.0447270090904022,1.4522342064714946,0.5860501604697649,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00002000/duration_summary.json
15000,speaker_1/Chinese,speech,raw,192,12060,0.6569425733826375,0.6834424386001938,0.7007242478116019,0.9753372182204626,1.1742366874198218,0.7065358740906759,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00015000/duration_summary.json
15000,speaker_1/Chinese,speech,inference,192,12060,0.6493463201003061,0.6866065687677636,0.6337308772952805,1.0834355613192668,1.3455223880597016,0.6388594862445853,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00015000/duration_summary.json
15000,speaker_1/English,speech,raw,115,7329,0.6541523143511513,0.6778963060136896,0.7367013823185805,0.9201778662070417,1.2705234734841917,0.7453391801638456,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00015000/duration_summary.json
15000,speaker_1/English,speech,inference,115,7329,0.644255034123899,0.6772096154524192,0.6528373446008638,1.037332838038633,1.3398826579342338,0.6599919374958547,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00015000/duration_summary.json
15000,speaker_1/Mixed,speech,raw,93,6321,0.6663452888320377,0.6715025572395781,0.7042784612026658,0.9534617260520537,1.2319245251687414,0.7256943082540208,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00015000/duration_summary.json
15000,speaker_1/Mixed,speech,inference,93,6321,0.6574717550237567,0.673317931973055,0.6337887538261885,1.062369642736998,1.3750988767600063,0.6527574691752054,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00015000/duration_summary.json
15000,speaker_0/English,speech,raw,232,15576,0.665348865036784,0.6589560804288125,0.6956566875150885,0.9472432196154517,1.3038463646868406,0.6982382351681135,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00015000/duration_summary.json
15000,speaker_0/English,speech,inference,232,15576,0.655872409328343,0.6615803065917455,0.6251706117257816,1.058239613607964,1.3780174627632256,0.6278360780178905,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00015000/duration_summary.json
45000,speaker_1/Chinese,speech,raw,192,12060,0.6634676309932166,0.6479483198330017,0.6907340971928702,0.9380575281664114,1.1326888906125405,0.6948289429701902,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00045000/duration_summary.json
