step,group,samples,cer_micro,wer_micro,wavlm_similarity_mean,camp_similarity_mean,dnsmos_ovrl_mean,dnsmos_sig_mean,dnsmos_bak_mean,evaluation_failures,source
2000,majestic_zh,200,0.03015873015873016,,0.7203438031673431,0.6419804322719574,3.3251062136145504,3.5919296728855783,4.094118605047249,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00002000/summary.json
2000,majestic_en,200,0.018865946965726865,0.03380009657170449,0.6299859508872032,0.7618134579062462,3.1793659646935857,3.4411340050774886,4.078576297095481,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00002000/summary.json
2000,majestic_mixed,50,0.09485815602836879,0.2916666666666667,0.6689702951908112,0.6161714398860931,3.3210990745324285,3.575676509232019,4.114111820952885,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00002000/summary.json
2000,ljs_en,200,0.038465569646787545,0.06180589087397392,0.38579122576862573,0.7443442910909652,2.6826957537245373,3.2896950797439355,3.3334639398767654,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00002000/summary.json
15000,majestic_zh,200,0.011375661375661376,,0.7628574711084366,0.6833813264966011,3.365925631451252,3.6204246939273235,4.123744023166208,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00015000/summary.json
15000,majestic_en,200,0.005659784089718059,0.014485755673587638,0.7212249863147736,0.794115754365921,3.244841960401889,3.5006768169961764,4.113487391710983,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00015000/summary.json
15000,majestic_mixed,50,0.016843971631205674,0.09375,0.7167709875106811,0.6635108470916748,3.353665321420391,3.6034176134729563,4.1391821769608015,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00015000/summary.json
15000,ljs_en,200,0.008384865318100829,0.016900048285852245,0.5554345507919788,0.8092388170957565,3.0142288896026086,3.452644475136013,3.72580784876624,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00015000/summary.json
45000,majestic_zh,200,0.006613756613756613,,0.7759907910227776,0.6942074632644654,3.3706411789202892,3.6193443945601587,4.131954517368473,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00045000/summary.json
45000,majestic_en,200,0.00597421653914684,0.01158860453887011,0.7428649605810642,0.8030566251277924,3.2786225282055246,3.5272113538658902,4.128128571535873,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00045000/summary.json
45000,majestic_mixed,50,0.005319148936170213,0.08333333333333333,0.7209967613220215,0.6710984885692597,3.377960185480005,3.623791664662053,4.14900695427099,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00045000/summary.json
45000,ljs_en,200,0.006288648988575621,0.01545147271849348,0.6079823377355933,0.8367982643842697,3.094799854247733,3.5088329969009857,3.7967591859589858,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00045000/summary.json
100000,majestic_zh,200,0.00582010582010582,,0.7800728785991669,0.6949638956785202,3.3949104899756595,3.6359831445886317,4.146510601531218,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00100000/summary.json
100000,majestic_en,200,0.004192432659050414,0.009174311926605505,0.749817112982273,0.8096019929647446,3.296261054699656,3.5401836030144365,4.141241067269971,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00100000/summary.json
100000,majestic_mixed,50,0.0062056737588652485,0.0625,0.7291388857364655,0.6735635411739349,3.3685887571647304,3.61065961939887,4.146607690333644,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00100000/summary.json
100000,ljs_en,200,0.006288648988575621,0.01496861419604056,0.645430328398943,0.8391809126734734,3.1274168381288967,3.502338286419329,3.863125246391919,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00100000/summary.json
170000,majestic_zh,200,0.003968253968253968,,0.7855427208542823,0.6928878384828567,3.409884179071436,3.647902223554122,4.153927969992868,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00170000/summary.json
170000,majestic_en,200,0.004821297557907976,0.01158860453887011,0.7620592737197875,0.8108404794335365,3.304856182909346,3.5477042766535165,4.14117401725942,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00170000/summary.json
170000,majestic_mixed,50,0.007978723404255319,0.08333333333333333,0.7337581539154052,0.6732520425319671,3.3935590664388537,3.6314201064665124,4.15851399155041,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00170000/summary.json
170000,ljs_en,200,0.004087621842574153,0.01110574601641719,0.6738245806470513,0.8387000849843025,3.195647979004589,3.5377522534591592,3.9383463877386644,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_backbone21k_20260914/eval/step_00170000/summary.json
