model,step,group,samples,evaluation_failures,cer_mean,wer_mean,wavlm_similarity_mean,camp_similarity_mean,dnsmos_ovrl_mean,dnsmos_sig_mean,dnsmos_bak_mean,cer_micro,wer_micro
非 streaming,1000,ljs_en,8,0,0.0,0.0,0.6591592729091644,0.8425256535410881,3.13690621557741,3.4433222491688182,3.956682825932875,0.0,0.0
非 streaming,1000,majestic_en,8,0,0.023148148148148147,0.020833333333333332,0.7684170231223106,0.7977447584271431,3.2924858810545983,3.5352021883014024,4.138907339063351,0.013089005235602094,0.011235955056179775
非 streaming,1000,majestic_zh,8,0,0.02867965367965368,0.0,0.7715822830796242,0.7068366408348083,3.3935144342473236,3.63342111043636,4.154986370035388,0.033783783783783786,
非 streaming,1000,majestic_mixed,8,0,0.0,0.0,0.7046403810381889,0.6673780679702759,3.391311813920228,3.625883098610414,4.164990134335715,0.0,0.0
Streaming 100帧,1000,ljs_en,8,0,0.0,0.0,0.6562189981341362,0.8325309380888939,3.069355871496758,3.4626203329098946,3.799803757216588,0.0,0.0
Streaming 100帧,1000,majestic_en,8,0,0.023148148148148147,0.020833333333333332,0.7652501612901688,0.7914339825510979,3.2253484167364106,3.4784612391903758,4.111147063153446,0.013089005235602094,0.011235955056179775
Streaming 100帧,1000,majestic_zh,8,0,0.017316017316017316,0.0,0.7906795889139175,0.7203322127461433,3.3876042684336882,3.627707427515219,4.152095092756139,0.02027027027027027,
Streaming 100帧,1000,majestic_mixed,8,0,0.0,0.0,0.7061283737421036,0.6766705438494682,3.396429067196959,3.628877660348796,4.166891994611546,0.0,0.0
Streaming 50帧 teacher-matched,1000,ljs_en,8,0,0.0,0.0,0.6638277098536491,0.8318305090069771,3.1067145185709224,3.4849607507375593,3.8547784439104062,0.0,0.0
Streaming 50帧 teacher-matched,1000,majestic_en,8,0,0.023148148148148147,0.020833333333333332,0.7594841197133064,0.7890951633453369,3.2255682873674547,3.4735000215060694,4.121991147412403,0.013089005235602094,0.011235955056179775
Streaming 50帧 teacher-matched,1000,majestic_zh,8,0,0.017316017316017316,0.0,0.7886450365185738,0.7187298908829689,3.3468332125074776,3.6012628918101086,4.1174566956991665,0.02027027027027027,
Streaming 50帧 teacher-matched,1000,majestic_mixed,8,0,0.0,0.0,0.6983747258782387,0.668604776263237,3.3794303693721917,3.6201153010308755,4.156329461229088,0.0,0.0
非 streaming,5000,ljs_en,200,0,0.00408984651011735,0.01154550922933276,0.646786473840475,0.8158067044615746,3.1240790070716833,3.49120723676277,3.8739296996775523,0.004506865108479195,0.012071463061323033
非 streaming,5000,majestic_en,200,0,0.0039402003861067,0.010218958737341088,0.7558338905870915,0.8010042151808738,3.289877804785005,3.535341428369338,4.13389286516396,0.004611675924955455,0.01110574601641719
非 streaming,5000,majestic_zh,200,0,0.004239807770414177,0.0,0.7838845616579055,0.7085307663679123,3.402609392115884,3.6416713984151907,4.148523405134196,0.004497354497354497,
非 streaming,5000,majestic_mixed,50,0,0.009718899521531101,0.07333333333333333,0.7333775269985199,0.6839811158180237,3.3811295620312922,3.6217268492736863,4.15064145173675,0.008865248226950355,0.0625
Streaming 100帧,5000,ljs_en,200,0,0.003892388857893132,0.012551605257487613,0.6325573371350766,0.8172975188493729,3.0601698333896636,3.4523783423770857,3.8119101076185986,0.004087621842574153,0.01110574601641719
Streaming 100帧,5000,majestic_en,200,0,0.005290552635368534,0.01232976459814695,0.7530838003754616,0.7957543057203292,3.269787996154518,3.5190014750664655,4.124768199976738,0.004821297557907976,0.012071463061323033
Streaming 100帧,5000,majestic_zh,200,0,0.0036650909635749453,0.0,0.7776522293686867,0.7135213306546211,3.392189963091046,3.635572077179788,4.139169121938365,0.003968253968253968,
Streaming 100帧,5000,majestic_mixed,50,0,0.0017786561264822134,0.03333333333333333,0.7289320421218872,0.6857271134853363,3.370985861766619,3.6206596221654626,4.133216028468879,0.0017730496453900709,0.041666666666666664
Streaming 50帧 teacher-matched,5000,ljs_en,200,0,0.004237216444100028,0.012134938590820947,0.624735561311245,0.8152924567461014,3.0089679422075655,3.4206942355208416,3.7636890100892595,0.0042972434755266745,0.01110574601641719
Streaming 50帧 teacher-matched,5000,majestic_en,200,0,0.0051927362360815466,0.012642264598146952,0.7504794093966484,0.7939496743679046,3.2520760468486842,3.5025453467249203,4.119769425039361,0.004611675924955455,0.012071463061323033
Streaming 50帧 teacher-matched,5000,majestic_zh,200,0,0.004697479627542555,0.0,0.7767888376116753,0.7117791312932968,3.3831217656470316,3.6280213055484847,4.13589066961556,0.004761904761904762,
Streaming 50帧 teacher-matched,5000,majestic_mixed,50,0,0.0017786561264822134,0.03333333333333333,0.7303295493125915,0.6859580528736114,3.355220759511696,3.6093829925715024,4.123734437752914,0.0017730496453900709,0.041666666666666664
非 streaming,10000,ljs_en,200,0,0.0036550639014216978,0.010457273935215112,0.6479181431233882,0.8136929202079773,3.1214568158665195,3.4887359450905535,3.8709631939430347,0.004087621842574153,0.010622887493964268
非 streaming,10000,majestic_en,200,0,0.0039402003861067,0.010218958737341088,0.7552731066942215,0.8019966971874237,3.2825546747376166,3.5291895914193407,4.12964105182012,0.004611675924955455,0.01110574601641719
非 streaming,10000,majestic_zh,200,0,0.003976649875677335,0.0,0.7805854472517967,0.7094311758875846,3.4023884853309414,3.6424649267870937,4.14814559107732,0.004232804232804233,
