token_354	token_type	mfa_phones	example_hanzi	example_pinyin	notes
ㄅ	initial	p			fixed consonant table
ㄆ	initial	pʰ			fixed consonant table
ㄇ	initial	m			fixed consonant table
ㄈ	initial	f			fixed consonant table
ㄉ	initial	t			fixed consonant table
ㄊ	initial	tʰ			fixed consonant table
ㄋ	initial	n			fixed consonant table
ㄌ	initial	l			fixed consonant table
ㄍ	initial	k			fixed consonant table
ㄎ	initial	kʰ			fixed consonant table
ㄏ	initial	x			fixed consonant table
ㄐ	initial	tɕ			fixed consonant table
ㄑ	initial	tɕʰ			fixed consonant table
ㄒ	initial	ɕ			fixed consonant table
ㄓ	initial	ʈʂ			fixed consonant table
ㄔ	initial	ʈʂʰ			fixed consonant table
ㄕ	initial	ʂ			fixed consonant table
ㄖ	initial	ʐ			fixed consonant table
ㄗ	initial	ts			fixed consonant table
ㄘ	initial	tsʰ			fixed consonant table
ㄙ	initial	s			fixed consonant table
ㄏㄇˇ	rhyme_tone	m̩˨˩˦		hm4	manual MFA override
ㄏㄇˉ	rhyme_tone	m̩˥		hm4	manual MFA override
ㄏㄇˊ	rhyme_tone	m̩˧˥		hm4	manual MFA override
ㄏㄇˋ	rhyme_tone	m̩˥˩		hm4	manual MFA override
ㄏㄇ˙	rhyme_tone	m̩˩		hm4	manual MFA override
ㄓˇ	rhyme_tone	ʈʂ ʐ̩˥	之	zhi3	whole syllable (all MFA phones)
ㄓˉ	rhyme_tone	ʈʂ ʐ̩˥	之	zhi1	whole syllable (all MFA phones)
ㄓˊ	rhyme_tone	ʈʂ ʐ̩˥	之	zhi2	whole syllable (all MFA phones)
ㄓˋ	rhyme_tone	ʈʂ ʐ̩˥	之	zhi4	whole syllable (all MFA phones)
ㄓ˙	rhyme_tone	ʈʂ ʐ̩˥	之	zhi5	whole syllable (all MFA phones)
ㄔˇ	rhyme_tone	ʈʂʰ ʐ̩˥	吃	chi3	whole syllable (all MFA phones)
ㄔˉ	rhyme_tone	ʈʂʰ ʐ̩˥	吃	chi1	whole syllable (all MFA phones)
ㄔˊ	rhyme_tone	ʈʂʰ ʐ̩˥	吃	chi2	whole syllable (all MFA phones)
ㄔˋ	rhyme_tone	ʈʂʰ ʐ̩˥	吃	chi4	whole syllable (all MFA phones)
ㄔ˙	rhyme_tone	ʈʂʰ ʐ̩˥	吃	chi5	whole syllable (all MFA phones)
ㄕˇ	rhyme_tone	ʂ ʐ̩˥˩	是	shi3	whole syllable (all MFA phones)
ㄕˉ	rhyme_tone	ʂ ʐ̩˥˩	是	shi1	whole syllable (all MFA phones)
ㄕˊ	rhyme_tone	ʂ ʐ̩˥˩	是	shi2	whole syllable (all MFA phones)
ㄕˋ	rhyme_tone	ʂ ʐ̩˥˩	是	shi4	whole syllable (all MFA phones)
ㄕ˙	rhyme_tone	ʂ ʐ̩˥˩	是	shi5	whole syllable (all MFA phones)
