token_354	token_type	mfa_phones	count	mean_frames	std_frames	p01	p5	p50	p95	p99	min	max	suggested_floor	suggested_cap
ㄦ˙	erhua	ʔ o ɻ	185	9.04	4.28	1.9	3.8	8.1	18.1	21.4	1.9	22.5	1.9	32.0
ㄅ	initial	p	3959	4.16	1.02	2.5	2.5	3.8	6.2	7.5	1.9	10.0	2.5	12.2
ㄆ	initial	pʰ	1536	6.83	1.40	3.7	4.4	6.9	9.4	10.0	2.5	11.9	3.7	15.4
ㄇ	initial	m	4216	4.69	1.27	1.9	2.5	5.0	6.9	8.1	1.9	16.2	1.9	12.9
ㄈ	initial	f	3604	5.75	1.35	3.1	3.8	5.6	8.1	10.0	1.9	12.5	3.1	15.0
ㄉ	initial	t	11632	3.70	0.85	2.5	2.5	3.8	5.0	6.3	1.9	14.4	2.5	11.0
ㄊ	initial	tʰ	3770	6.49	1.37	3.1	4.4	6.3	8.8	9.4	1.9	11.3	3.1	14.8
ㄋ	initial	n	2872	4.19	1.38	1.9	1.9	4.4	6.3	7.5	0.6	10.6	1.9	12.3
ㄌ	initial	l	6015	4.14	1.35	1.9	1.9	4.4	6.3	8.1	1.9	18.1	1.9	12.3
ㄍ	initial	k	5155	4.14	1.02	2.5	2.5	3.8	5.6	6.9	1.9	18.8	2.5	11.6
ㄎ	initial	kʰ	2876	6.74	1.36	3.8	4.4	6.9	8.8	10.0	2.5	12.5	3.8	15.0
ㄏ	initial	x	6874	6.66	1.38	3.7	4.4	6.3	8.8	10.6	1.9	13.7	3.7	15.9
ㄐ	initial	tɕ	8849	5.27	1.07	3.1	3.8	5.0	6.9	8.1	2.5	15.6	3.1	12.9
ㄑ	initial	tɕʰ	4138	7.25	1.35	4.4	5.0	6.9	9.4	10.6	3.7	13.8	4.4	15.9
ㄒ	initial	ɕ	6994	6.34	1.41	3.8	4.4	6.2	8.8	10.0	2.5	11.9	3.8	15.0
ㄓ	initial	ʈʂ	6254	4.42	0.90	2.5	3.1	4.4	5.6	6.9	1.9	11.9	2.5	11.6
ㄔ	initial	ʈʂʰ	4033	6.50	1.29	3.8	4.4	6.3	8.8	10.0	1.9	11.3	3.8	15.0
ㄕ	initial	ʂ	5849	5.83	1.29	3.7	4.4	5.6	8.7	9.4	2.5	11.9	3.7	14.7
ㄖ	initial	ʐ	2916	5.22	1.47	2.5	3.1	5.0	7.5	8.8	1.9	18.1	2.5	13.5
ㄗ	initial	ts	3835	4.88	1.12	3.1	3.1	5.0	6.9	8.5	1.9	11.9	3.1	12.9
ㄘ	initial	tsʰ	1610	6.86	1.41	3.8	5.0	6.9	9.4	10.6	3.1	13.1	3.8	15.9
ㄙ	initial	s	1802	6.02	1.36	3.7	4.4	5.6	8.7	9.4	2.5	11.9	3.7	14.7
ㄓˇ	rhyme_tone	ʈʂ ʐ̩˥	227	11.31	3.68	6.9	7.5	10.0	20.4	23.6	6.3	25.0	6.9	35.4
ㄓˉ	rhyme_tone	ʈʂ ʐ̩˥	535	11.15	2.91	6.5	8.1	10.6	18.1	21.2	5.0	22.5	6.5	31.9
ㄓˊ	rhyme_tone	ʈʂ ʐ̩˥	326	11.21	3.17	6.9	8.1	10.6	20.0	21.7	6.9	23.7	6.9	32.6
ㄓˋ	rhyme_tone	ʈʂ ʐ̩˥	418	11.69	3.32	6.3	7.5	11.2	19.4	20.0	5.6	23.7	6.3	30.0
ㄓ˙	rhyme_tone	ʈʂ ʐ̩˥	20	15.13	3.44	8.2	8.7	15.6	19.4	19.9	8.1	20.0	8.2	29.8
ㄔˇ	rhyme_tone	ʈʂʰ ʐ̩˥	23	14.54	4.45	10.0	10.1	13.1	24.2	25.3	10.0	25.6	10.0	38.0
ㄔˉ	rhyme_tone	ʈʂʰ ʐ̩˥	142	14.44	3.69	9.6	10.0	13.7	22.5	23.7	3.8	24.4	9.6	35.6
ㄔˊ	rhyme_tone	ʈʂʰ ʐ̩˥	116	14.52	4.02	8.8	9.8	13.4	23.1	23.8	8.7	25.0	8.8	35.6
ㄔˋ	rhyme_tone	ʈʂʰ ʐ̩˥	25	15.42	3.03	11.1	12.5	15.0	21.0	22.2	10.6	22.5	11.1	33.3
ㄕˇ	rhyme_tone	ʂ ʐ̩˥˩	193	12.70	4.00	7.5	8.1	11.3	22.1	24.4	6.9	25.0	7.5	36.6
ㄕˉ	rhyme_tone	ʂ ʐ̩˥˩	234	14.01	3.62	8.7	9.4	13.1	20.6	21.9	8.1	22.5	8.7	32.8
ㄕˊ	rhyme_tone	ʂ ʐ̩˥˩	1155	13.68	4.55	7.2	8.1	12.5	21.9	23.7	5.0	26.9	7.2	35.6
ㄕˋ	rhyme_tone	ʂ ʐ̩˥˩	2613	12.55	3.67	6.9	8.1	11.9	20.0	21.3	6.2	25.0	6.9	31.9
ㄕ˙	rhyme_tone	ʂ ʐ̩˥˩	39	11.97	3.74	7.5	8.1	10.6	18.8	20.3	7.5	21.2	7.5	30.5
ㄖˋ	rhyme_tone	ʐ̩˥˩	190	10.27	5.17	1.9	1.9	10.6	19.4	20.7	1.9	21.3	1.9	31.0
ㄗˇ	rhyme_tone	ts z̩˨˩˦	176	13.05	4.01	7.3	8.0	12.5	20.8	23.1	6.3	23.8	7.3	34.7
ㄗˉ	rhyme_tone	ts z̩˨˩˦	108	12.14	3.18	7.5	8.7	11.2	19.4	20.0	7.5	22.5	7.5	30.0
ㄗˊ	rhyme_tone	ts z̩˨˩˦	42	11.86	3.93	6.9	6.9	10.6	18.7	20.8	6.9	21.9	6.9	31.3
ㄗˋ	rhyme_tone	ts z̩˨˩˦	361	11.40	2.65	7.2	8.1	11.2	16.9	20.6	6.3	22.5	7.2	30.9
ㄗ˙	rhyme_tone	ts z̩˨˩˦	484	11.90	3.74	6.3	6.9	11.3	18.1	20.1	5.6	23.7	6.3	30.2
ㄘˇ	rhyme_tone	tsʰ z̩˧˥	261	14.45	4.27	9.4	10.6	12.5	23.8	25.5	8.1	26.9	9.4	38.2
ㄘˉ	rhyme_tone	tsʰ z̩˧˥	13	14.33	5.69	8.1	8.1	11.3	23.0	23.6	8.1	23.7		
ㄘˊ	rhyme_tone	tsʰ z̩˧˥	98	15.71	4.93	8.8	9.4	14.4	23.8	26.2	8.7	26.2	8.8	39.4
ㄘˋ	rhyme_tone	tsʰ z̩˧˥	233	13.58	3.95	7.7	8.7	12.5	21.2	22.5	6.2	23.1	7.7	33.8
ㄙˇ	rhyme_tone	s z̩˥˩	99	14.51	4.92	7.5	8.7	13.1	23.7	26.2	7.5	26.2	7.5	39.4
ㄙˉ	rhyme_tone	s z̩˥˩	280	13.09	3.55	8.0	8.7	12.5	20.6	22.5	6.9	23.1	8.0	33.7
ㄙˊ	rhyme_tone	s z̩˥˩	25	12.45	2.81	7.8	8.9	11.9	17.2	18.9	7.5	19.4	7.8	28.4
ㄙˋ	rhyme_tone	s z̩˥˩	236	12.90	2.92	8.3	9.4	12.5	18.9	22.5	7.5	23.7	8.3	33.7
ㄙ˙	rhyme_tone	s z̩˥˩	14	12.41	4.18	7.0	7.3	11.6	19.4	20.4	6.9	20.6		
ㄚˇ	rhyme_tone	ʔ a˥˩	835	8.29	2.93	3.1	5.0	7.5	15.6	18.1	1.9	19.4	3.1	27.2
ㄚˉ	rhyme_tone	ʔ a˥˩	2329	6.99	2.80	3.1	3.8	6.3	13.7	15.4	1.9	20.6	3.1	23.2
ㄚˊ	rhyme_tone	ʔ a˥˩	834	8.68	3.32	2.7	4.8	8.1	16.2	18.1	1.9	20.0	2.7	27.2
ㄚˋ	rhyme_tone	ʔ a˥˩	1305	8.31	2.46	3.8	5.6	8.1	14.4	15.6	1.9	16.9	3.8	23.4
ㄚ˙	rhyme_tone	ʔ a˥˩	528	13.17	3.73	4.4	5.6	13.1	19.4	22.8	1.9	26.9	4.4	34.2
ㄛˇ	rhyme_tone	o˧˥	17	4.23	1.68	1.5	2.2	4.4	7.3	8.5	1.3	8.8		
ㄛˉ	rhyme_tone	o˧˥	146	4.77	2.06	2.2	2.7	4.4	8.6	12.3	1.9	16.9	2.2	18.5
