token_354	token_type	mfa_phones	count	mean_frames	std_frames	p01	p5	p50	p95	p99	min	max	suggested_floor	suggested_cap
ㄦ˙	erhua	ɻ	379	5.13	2.36	1.9	1.9	5.0	9.4	12.5	1.9	14.4	1.9	18.7
ㄅ	initial	p	3723	4.17	0.96	2.5	2.5	4.4	5.6	6.3	1.9	8.1	2.5	11.6
ㄆ	initial	pʰ	1445	7.21	1.88	2.5	4.4	7.5	10.0	11.3	1.9	13.1	2.5	16.9
ㄇ	initial	m	4788	4.30	1.27	1.9	2.5	4.4	6.3	7.5	0.6	17.5	1.9	12.3
ㄈ	initial	f	2654	6.71	1.38	3.7	4.4	6.9	9.4	10.0	1.9	11.9	3.7	15.4
ㄉ	initial	t	11940	3.73	0.87	1.9	2.5	3.8	5.0	6.3	0.6	13.1	1.9	11.0
ㄊ	initial	tʰ	5018	6.09	1.79	3.1	3.8	5.6	9.4	10.6	1.9	15.6	3.1	15.9
ㄋ	initial	n	3088	4.13	1.45	1.9	1.9	4.4	6.3	8.7	1.9	19.4	1.9	13.1
ㄌ	initial	l	6774	4.22	1.50	1.9	1.9	4.4	6.3	8.1	1.9	20.0	1.9	12.3
ㄍ	initial	k	4785	3.97	1.05	1.9	2.5	3.8	5.6	6.9	1.9	16.9	1.9	11.6
ㄎ	initial	kʰ	3095	6.38	1.94	1.9	3.1	6.3	9.4	10.6	0.6	14.4	1.9	15.9
ㄏ	initial	x	6861	7.02	1.75	2.5	4.4	6.9	10.0	11.2	1.9	18.1	2.5	16.9
ㄐ	initial	tɕ	6420	5.49	1.29	2.5	3.7	5.6	7.5	8.8	1.9	13.8	2.5	13.5
ㄑ	initial	tɕʰ	3976	7.53	1.82	3.8	5.0	7.5	10.6	11.9	1.9	15.6	3.8	17.8
ㄒ	initial	ɕ	6705	7.26	1.55	4.4	5.0	6.9	10.0	11.2	1.9	13.1	4.4	16.9
ㄓ	initial	ʈʂ	5437	4.67	1.10	2.5	3.1	4.4	6.9	7.5	1.9	11.3	2.5	12.9
ㄔ	initial	ʈʂʰ	2984	6.77	1.67	3.1	4.4	6.9	9.4	10.7	1.9	13.8	3.1	16.1
ㄕ	initial	ʂ	5530	6.73	1.42	3.8	4.4	6.9	9.4	10.0	1.9	12.5	3.8	15.4
ㄖ	initial	ʐ	2373	4.65	1.60	1.9	1.9	4.4	7.5	9.4	1.9	12.5	1.9	14.1
ㄗ	initial	ts	3202	4.84	1.10	2.5	3.1	5.0	6.9	7.5	1.9	11.3	2.5	12.9
ㄘ	initial	tsʰ	1371	7.22	1.77	3.8	4.4	6.9	10.0	11.2	1.9	12.5	3.8	16.9
ㄙ	initial	s	1457	6.88	1.32	4.4	5.0	6.9	9.4	10.0	3.1	12.5	4.4	15.4
ㄓˇ	rhyme_tone	ʈʂ ʐ̩˥	237	9.98	4.04	5.2	6.2	8.8	20.1	25.8	5.0	26.9	5.2	38.7
ㄓˉ	rhyme_tone	ʈʂ ʐ̩˥	676	10.22	2.92	6.2	7.5	9.4	16.9	21.3	5.0	24.4	6.2	31.9
ㄓˊ	rhyme_tone	ʈʂ ʐ̩˥	324	10.24	3.73	5.6	6.3	9.4	18.0	24.7	3.7	25.6	5.6	37.1
ㄓˋ	rhyme_tone	ʈʂ ʐ̩˥	198	11.36	4.44	5.6	6.3	10.0	20.6	22.5	5.0	26.2	5.6	33.7
ㄓ˙	rhyme_tone	ʈʂ ʐ̩˥	8	13.44	5.36	8.1	8.1	11.9	20.8	21.7	8.1	21.9		
ㄔˇ	rhyme_tone	ʈʂʰ ʐ̩˥	24	13.70	5.95	5.7	8.1	13.1	24.3	28.2	5.0	29.4	5.7	42.3
