token_354	token_type	mfa_phones	count	mean_frames	std_frames	p01	p5	p50	p95	p99	min	max	suggested_floor	suggested_cap
ㄦ˙	erhua	ʔ o ɻ	469	6.71	3.62	1.5	1.9	6.3	12.9	17.1	0.6	20.0	1.5	25.6
ㄅ	initial	p	3451	4.16	0.95	2.5	2.5	4.4	5.6	6.3	1.9	8.1	2.5	11.6
ㄆ	initial	pʰ	1293	7.24	1.84	2.5	4.4	7.5	10.0	11.3	1.9	13.1	2.5	16.9
ㄇ	initial	m	4465	4.26	1.24	1.9	2.5	4.4	6.3	7.5	0.6	17.5	1.9	12.3
ㄈ	initial	f	2391	6.72	1.38	3.7	4.4	6.9	9.1	10.0	1.9	11.9	3.7	15.1
ㄉ	initial	t	10803	3.73	0.87	1.9	2.5	3.8	5.0	6.3	0.6	9.4	1.9	11.0
ㄊ	initial	tʰ	4674	6.09	1.79	3.1	3.8	5.6	9.4	10.6	1.9	15.6	3.1	15.9
ㄋ	initial	n	2585	4.11	1.40	1.9	1.9	4.4	6.2	8.1	1.9	19.4	1.9	12.2
ㄌ	initial	l	6085	4.21	1.49	1.9	1.9	4.4	6.3	8.1	1.9	20.0	1.9	12.3
ㄍ	initial	k	4428	3.97	1.06	1.9	2.5	3.8	5.6	6.9	1.9	16.9	1.9	11.6
ㄎ	initial	kʰ	2882	6.39	1.93	1.9	3.7	6.3	9.4	10.6	1.9	14.4	1.9	15.9
ㄏ	initial	x	6299	7.03	1.74	2.5	4.4	6.9	10.0	11.2	1.9	18.1	2.5	16.9
ㄐ	initial	tɕ	6088	5.48	1.29	2.5	3.7	5.6	7.5	8.8	1.9	13.8	2.5	13.5
ㄑ	initial	tɕʰ	3615	7.51	1.80	3.8	5.0	7.5	10.6	11.9	1.9	15.6	3.8	17.8
ㄒ	initial	ɕ	6351	7.23	1.55	4.4	5.0	6.9	10.0	11.2	2.5	13.1	4.4	16.9
ㄓ	initial	ʈʂ	4990	4.68	1.10	2.5	3.1	4.4	6.9	7.5	1.9	11.3	2.5	12.9
ㄔ	initial	ʈʂʰ	2678	6.75	1.67	3.1	4.4	6.9	9.4	10.6	1.9	13.8	3.1	15.9
ㄕ	initial	ʂ	5002	6.71	1.42	3.8	4.4	6.9	9.4	10.0	1.9	12.5	3.8	15.4
ㄖ	initial	ʐ	2175	4.68	1.59	1.9	2.3	4.4	7.5	9.4	1.9	12.5	1.9	14.1
ㄗ	initial	ts	2959	4.84	1.10	2.5	3.1	5.0	6.9	7.8	1.9	10.0	2.5	12.9
ㄘ	initial	tsʰ	1234	7.18	1.77	3.8	4.4	6.9	10.0	11.2	1.9	11.9	3.8	16.9
ㄙ	initial	s	1344	6.89	1.33	4.4	5.0	6.9	9.4	10.0	3.1	12.5	4.4	15.4
ㄓˇ	rhyme_tone	ʈʂ ʐ̩˥	202	9.79	3.78	5.0	6.2	8.8	18.7	24.4	5.0	26.3	5.0	36.5
ㄓˉ	rhyme_tone	ʈʂ ʐ̩˥	624	10.25	2.93	6.2	7.5	9.4	16.9	21.3	5.0	24.4	6.2	31.9
ㄓˊ	rhyme_tone	ʈʂ ʐ̩˥	294	10.17	3.68	5.6	6.3	9.4	17.5	23.8	3.7	25.6	5.6	35.8
ㄓˋ	rhyme_tone	ʈʂ ʐ̩˥	180	11.21	4.42	5.6	6.2	10.0	20.6	22.5	5.0	26.2	5.6	33.7
ㄓ˙	rhyme_tone	ʈʂ ʐ̩˥	8	13.44	5.36	8.1	8.1	11.9	20.8	21.7	8.1	21.9		
ㄔˇ	rhyme_tone	ʈʂʰ ʐ̩˥	21	13.63	5.74	5.6	8.1	13.8	23.7	28.3	5.0	29.4	5.6	42.4
ㄔˉ	rhyme_tone	ʈʂʰ ʐ̩˥	184	12.77	4.24	7.5	8.1	11.3	21.9	23.9	6.2	24.4	7.5	35.8
ㄔˊ	rhyme_tone	ʈʂʰ ʐ̩˥	63	12.87	4.65	8.1	8.7	11.2	23.8	25.9	8.1	26.3	8.1	38.8
ㄔˋ	rhyme_tone	ʈʂʰ ʐ̩˥	34	14.39	4.87	8.7	9.2	12.8	23.3	24.2	8.7	24.4	8.7	36.3
ㄕˇ	rhyme_tone	ʂ ʐ̩˥˩	159	12.46	4.61	7.5	7.5	11.2	23.8	27.1	7.5	30.0	7.5	40.7
ㄕˉ	rhyme_tone	ʂ ʐ̩˥˩	187	15.07	4.39	8.1	10.0	14.4	23.7	25.1	8.1	26.9	8.1	37.6
