token_354	token_type	mfa_phones	count	mean_frames	std_frames	p01	p5	p50	p95	p99	min	max	suggested_floor	suggested_cap
ㄅ	initial	p	3264	4.19	0.95	2.5	2.5	4.4	5.6	6.3	1.9	8.1	2.5	11.6
ㄆ	initial	pʰ	1254	7.28	1.84	2.5	4.4	7.5	10.0	11.3	1.9	13.1	2.5	16.9
ㄇ	initial	m	4213	4.20	1.24	1.9	2.5	4.4	6.3	7.5	0.6	17.5	1.9	12.3
ㄈ	initial	f	2305	6.69	1.36	3.7	4.4	6.9	8.8	10.0	1.9	11.9	3.7	15.1
ㄉ	initial	t	10209	3.73	0.88	1.9	2.5	3.8	5.0	6.3	0.6	9.4	1.9	11.0
ㄊ	initial	tʰ	3690	6.29	1.87	3.1	3.8	6.2	9.4	11.2	1.9	15.6	3.1	15.9
ㄋ	initial	n	2214	4.02	1.43	1.9	1.9	4.4	6.2	8.7	1.9	19.4	1.9	12.2
ㄌ	initial	l	5833	4.17	1.50	1.9	1.9	4.4	6.3	8.1	1.9	20.0	1.9	12.3
ㄍ	initial	k	4270	3.97	1.07	1.9	2.5	3.8	5.6	6.9	1.9	16.9	1.9	11.6
ㄎ	initial	kʰ	2644	6.46	1.97	1.9	3.1	6.3	9.4	10.6	1.9	14.4	1.9	15.9
ㄏ	initial	x	5896	7.02	1.72	3.1	4.4	6.9	10.0	10.6	1.9	18.1	2.5	16.9
ㄐ	initial	tɕ	5774	5.49	1.30	2.5	3.7	5.6	7.5	8.8	1.9	13.8	2.5	13.5
ㄑ	initial	tɕʰ	3463	7.53	1.82	3.8	5.0	7.5	10.6	11.9	1.9	15.6	3.8	17.8
ㄒ	initial	ɕ	5902	7.14	1.54	4.4	5.0	6.9	10.0	11.2	2.5	13.1	4.4	16.9
ㄓ	initial	ʈʂ	4436	4.67	1.13	2.5	3.1	4.4	6.9	7.5	1.9	11.3	2.5	12.9
ㄓˇ	rhyme_tone	ʈʂ ʐ̩˥	163	9.46	2.85	5.4	6.2	8.8	14.9	19.7	5.0	22.5	5.0	36.5
ㄓˉ	rhyme_tone	ʈʂ ʐ̩˥	592	10.09	2.69	6.2	7.5	9.4	14.4	21.3	5.0	24.4	6.2	31.9
ㄓˊ	rhyme_tone	ʈʂ ʐ̩˥	267	10.09	3.39	5.6	6.3	9.4	16.1	22.9	3.7	25.6	5.6	35.8
ㄓˋ	rhyme_tone	ʈʂ ʐ̩˥	162	10.94	4.21	5.6	6.2	10.0	20.0	22.5	5.0	22.5	5.6	33.7
ㄓ˙	rhyme_tone	ʈʂ ʐ̩˥	7	12.23	4.60	8.1	8.1	9.4	18.8	18.8	8.1	18.8		
ㄔ	initial	ʈʂʰ	2583	6.76	1.69	3.1	4.4	6.9	9.4	10.6	1.9	13.8	3.1	15.9
