token_354	p95_baseline	p95_cleaned	p95_delta_pct	p99_baseline	p99_cleaned	p99_delta_pct
ㄅ	5.6	5.625000000000004	0.4464285714286571	6.3	6.250000000000006	-0.7936507936506921
ㄆ	10.0	10.000000000000009	8.881784197001252e-14	11.3	11.250000000000009	-0.4424778761061223
ㄇ	6.3	6.250000000000006	-0.7936507936506921	7.5	7.499999999999993	-9.473903143468003e-14
ㄈ	9.1	8.750000000000009	-3.846153846153745	10.0	10.000000000000009	8.881784197001252e-14
ㄉ	5.0	5.000000000000004	8.881784197001252e-14	6.3	6.250000000000006	-0.7936507936506921
ㄊ	9.4	9.375000000000009	-0.26595744680841993	10.6	11.24999999999998	6.132075471697932
ㄋ	6.2	6.249999999999978	0.8064516129028648	8.1	8.668749999999918	7.021604938270593
ㄌ	6.3	6.250000000000006	-0.7936507936506921	8.1	8.125	0.3086419753086464
ㄍ	5.6	5.625000000000019	0.4464285714289109	6.9	6.874999999999999	-0.36231884057972813
ㄎ	9.4	9.375000000000023	-0.2659574468082687	10.6	10.625000000000018	0.23584905660394453
ㄏ	10.0	9.999999999999995	-5.3290705182007514e-14	11.2	10.625000000000023	-5.133928571428359
ㄐ	7.5	7.500000000000007	9.473903143468003e-14	8.8	8.750000000000009	-0.5681818181817253
ㄑ	10.6	10.624999999999995	0.23584905660372665	11.9	11.874999999999998	-0.21008403361346328
ㄒ	10.0	10.000000000000002	1.7763568394002505e-14	11.2	11.24999999999998	0.4464285714284033
ㄓ	6.9	6.874999999999992	-0.3623188405798311	7.5	7.500000000000007	9.473903143468003e-14
ㄓˇ	18.7	14.937500000000004	-20.120320855614953	24.4	19.699999999999978	-19.2622950819673
ㄓˉ	16.9	14.375000000000004	-14.940828402366835	21.3	21.250000000000004	-0.23474178403754534
ㄓˊ	17.5	16.062499999999993	-8.214285714285754	23.8	22.937499999999925	-3.623949579832249
ㄓˋ	20.6	20.000000000000018	-2.912621359223221	22.5	22.499999999999993	-3.157967714489334e-14
ㄓ˙	20.8	18.75	-9.855769230769234	21.7	18.750000000000004	-13.594470046082929
ㄔ	9.4	9.375000000000023	-0.2659574468082687	10.6	10.625000000000052	0.23584905660426295
ㄔˇ	23.7	23.749999999999993	0.2109704641349941	28.3	28.250000000000004	-0.17667844522967194
ㄔˉ	21.9	21.531250000000007	-1.6837899543378605	23.9	24.056250000000006	0.6537656903765988
ㄔˊ	23.8	19.624999999999975	-17.542016806722796	25.9	23.75	-8.301158301158296
ㄔˋ	23.3	22.875	-1.8240343347639514	24.2	24.074999999999996	-0.5165289256198494
ㄕ	9.4	8.750000000000009	-6.914893617021185	10.0	10.000000000000009	8.881784197001252e-14
ㄕˇ	23.8	18.125000000000004	-23.84453781512604	27.1	24.725	-8.763837638376383
ㄕˉ	23.7	23.124999999999993	-2.4261603375527696	25.1	24.250000000000007	-3.3864541832669093
ㄕˊ	25.0	24.375	-2.5	26.4	25.62500000000001	-2.935606060606015
ㄕˋ	23.1	23.125	0.10822510822510206	25.0	25.0	0.0
ㄕ˙	20.7	19.374999999999982	-6.400966183574962	22.0	21.437499999999986	-2.5568181818182465
ㄖ	7.5	7.499999999999991	-1.1842378929335001e-13	9.4	9.375000000000023	-0.2659574468082687
ㄖˋ	16.5	17.031249999999996	3.219696969696948	18.7	18.937499999999986	1.2700534759357567
ㄗ	6.9	6.874999999999992	-0.3623188405798311	7.8	7.500000000000007	-3.8461538461537526
ㄗˇ	19.4	18.750000000000007	-3.350515463917482	23.5	19.90625	-15.292553191489361
ㄗˉ	19.9	19.937500000000004	0.1884422110553014	21.0	21.05625	0.2678571428571361
ㄗˊ	20.3	20.43749999999999	0.6773399014777766	24.1	24.18125	0.3371369294605691
ㄗˋ	14.4	14.375	-0.17361111111111358	20.0	18.987499999999994	-5.062500000000032
ㄗ˙	18.8	18.74999999999999	-0.2659574468085711	21.2	21.15625000000001	-0.2063679245282483
ㄘ	10.0	10.000000000000009	8.881784197001252e-14	11.2	11.249999999999988	0.4464285714284668
ㄘˇ	25.0	24.999999999999993	-2.842170943040401e-14	25.6	25.712499999999988	0.43945312499994726
ㄘˉ	13.1	13.124999999999998	0.1908396946564777	13.1	13.124999999999998	0.1908396946564777
ㄘˊ	26.0	25.62499999999998	-1.4423076923077742	27.5	27.5	0.0
ㄘˋ	23.1	23.125	0.10822510822510206	25.6	25.625	0.09765624999999445
ㄙ	9.4	8.750000000000009	-6.914893617021185	10.0	9.999999999999995	-5.3290705182007514e-14
ㄙˇ	26.2	23.875000000000004	-8.874045801526702	26.3	26.33750000000001	0.1425855513308309
ㄙˉ	22.5	21.249999999999993	-5.555555555555587	24.4	24.112499999999997	-1.178278688524596
ㄙˊ	24.6	24.812499999999996	0.8638211382113619	28.1	28.16875	0.24466192170817747
ㄙˋ	17.5	16.875	-3.571428571428571	22.7	21.349999999999984	-5.947136563876721
ㄙ˙	21.9	22.093749999999996	0.8847031963470223	22.9	22.918749999999996	0.08187772925762951
ㄚˇ	13.1	10.624999999999995	-18.893129770992406	16.9	16.58124999999999	-1.8860946745562637
ㄚˉ	11.9	10.437499999999886	-12.289915966387513	14.4	13.749999999999998	-4.5138888888889035
ㄚˊ	15.6	13.749999999999998	-11.858974358974368	17.5	16.875	-3.571428571428571
ㄚˋ	11.9	10.625	-10.714285714285717	15.6	15.000000000000014	-3.8461538461537526
ㄚ˙	17.7	17.50000000000001	-1.1299435028247946	21.6	20.625	-4.513888888888895
ㄛˇ	4.8	4.8125	0.2604166666666704	5.0	4.962500000000003	-0.7499999999999396
ㄛˉ	15.1	7.500000000000007	-50.331125827814525	21.1	9.318749999999968	-55.835308056872194
ㄛˊ	10.0	7.500000000000004	-24.999999999999957	11.9	10.624999999999995	-10.714285714285761
ㄛˋ	8.0	8.124999999999995	1.5624999999999334	9.1	9.143750000000015	0.48076923076939865
ㄛ˙	23.1	23.125000000000004	0.10822510822511744	27.1	25.718749999999996	-5.096863468634705
ㄜˇ	12.4	8.750000000000004	-29.435483870967715	16.2	14.89374999999999	-8.063271604938329
ㄜˉ	13.7	13.749999999999998	0.36496350364962726	15.6	15.199999999999998	-2.564102564102578
ㄜˊ	14.4	13.125000000000004	-8.854166666666645	16.9	16.250000000000014	-3.846153846153754
ㄜˋ	13.7	13.125000000000012	-4.197080291970707	18.1	17.500000000000014	-3.314917127071752
ㄜ˙	11.3	11.24999999999998	-0.4424778761063739	13.1	12.500000000000012	-4.580152671755627
ㄞˇ	16.2	13.749999999999998	-15.123456790123463	18.8	18.750000000000004	-0.2659574468084955
ㄞˉ	13.7	13.749999999999986	0.3649635036495365	15.6	15.625	0.16025641025641252
ㄞˊ	15.6	14.999999999999986	-3.846153846153935	17.5	16.875	-3.571428571428571
ㄞˋ	15.0	13.749999999999986	-8.333333333333428	20.0	17.50000000000001	-12.499999999999947
ㄞ˙	16.4	16.24999999999999	-0.9146341463415197	17.5	17.49999999999998	-1.2180732613030289e-13
ㄟˇ	12.8	9.375000000000002	-26.75781249999999	20.0	15.756249999999989	-21.218750000000057
ㄟˉ	13.1	11.281250000000007	-13.883587786259485	16.8	16.881249999999984	0.48363095238085085
ㄟˊ	10.6	10.000000000000009	-5.660377358490479	16.5	16.59374999999995	0.5681818181815167
ㄟˋ	15.0	14.999999999999979	-1.4210854715202004e-13	16.9	16.875	-0.14792899408283183
ㄟ˙	20.3	20.74999999999999	2.21674876847285	22.5	22.500000000000004	1.578983857244667e-14
ㄠˇ	16.3	15.0	-7.97546012269939	18.7	18.124999999999975	-3.074866310160557
ㄠˉ	13.8	12.499999999999991	-9.420289855072534	15.6	15.281250000000028	-2.043269230769046
ㄠˊ	16.9	16.250000000000014	-3.846153846153754	18.8	18.74999999999999	-0.2659574468085711
ㄠˋ	14.4	13.74999999999999	-4.513888888888965	16.2	15.625000000000005	-3.5493827160493456
ㄠ˙	13.9	13.124999999999998	-5.575539568345339	15.3	14.75	-3.59477124183007
